event_type,language,tone,template_text
anniversary,hi,warm,"{{name}}, शादी की सालगिरह बहुत-बहुत मुबारक हो! 💍 आप दोनों की जोड़ी सदा सलामत रहे और प्यार यूँ ही बना रहे।"
anniversary,hi,fun,"{{name}} यार! Anniversary mubarak! 🎊 Itne saal saath nibhaaya — yahi toh asli pyaar hai! Celebrate karo khub!"
anniversary,hinglish,warm,"Happy Anniversary {{name}}! 💍 Aap dono ki jodi really amazing hai. Bhagwan kare yeh pyaar aur bhi gehraata rahe!"
anniversary,hinglish,casual,"Arre {{name}}! Anniversary mubarak ho! 💕 Saath mein itne saal — bahut khoobsurat safar raha hoga. Enjoy karo!"
diwali,en,warm,"Wishing you and your family a very Happy Diwali {{name}}! 🪔 May the festival of lights fill your home with joy, prosperity, and love."
diwali,en,casual,"Happy Diwali {{name}}! 🎆 Hope your celebrations are bright, your sweets are sweet, and your year ahead is amazing!"
diwali,en,fun,"Happy Diwali {{name}}! 🪔🎇 May your diya burn bright, your rangoli be Instagram-worthy, and your mithai never run out!"
diwali,hi,warm,"{{name}}, दीपावली की हार्दिक शुभकामनाएं! 🪔 माँ लक्ष्मी की कृपा आप पर सदा बनी रहे। आपका घर सुख-समृद्धि से भरा रहे।"
diwali,hi,casual,"{{name}} यार! दिवाली मुबारक हो! 🎆 खूब पटाखे फोड़ो, मिठाई खाओ और मस्ती करो!"
diwali,hinglish,warm,"Shubh Diwali {{name}}! 🪔 Is tyohar ka prakash aapke ghar mein khushi aur samriddhi le aaye. Dil se wish kar raha/rahi hoon!"
diwali,hinglish,casual,"Happy Diwali {{name}}! 🎇 Diyas jalao, mithai khao, aur sab ke saath celebrate karo. Bahut maza aaye!"
diwali,hinglish,fun,"Oye {{name}}! Diwali mubarak! 🪔✨ Rangoliyan banao, patakhe jalao, aur neighbour se zyada roshni karo ghar mein!"
holi,en,warm,"Happy Holi {{name}}! 🎨 May the colours of this festival brighten your life and fill it with happiness and good cheer!"
holi,en,fun,"Happy Holi {{name}}! 🌈 Get ready to be covered in colour — no white clothes allowed today! Have a blast!"
holi,hinglish,warm,"Happy Holi {{name}}! 🎨 Rang, gulal aur khushiyon se bhara ye tyohar aapki zindagi mein har roz ke rangon ko aur khoobsurat bana de!"
holi,hinglish,fun,"Bura na mano Holi hai {{name}}! 🌈 Pichkaari ready hai kya? Aaj toh dil khol ke rangon mein doob jaao!"
holi,hi,warm,"{{name}}, होली की हार्दिक शुभकामनाएं! 🎨 यह रंगों का त्योहार आपके जीवन में ढेरों खुशियाँ और रंग भर दे।"
christmas,en,warm,"Merry Christmas {{name}}! 🎄 Wishing you and your family a season filled with love, warmth, and the magic of Christmas."
christmas,en,casual,"Merry Christmas {{name}}! 🎅 Hope Santa's been good to you this year! Enjoy the celebrations!"
christmas,en,fun,"Merry Christmas {{name}}! 🎄🎁 May your tree be bright, your gifts be plenty, and your eggnog be strong! Ho ho ho!"
christmas,en,formal,"Season's Greetings {{name}}. Wishing you a blessed and joyful Christmas and a prosperous New Year ahead."
christmas,hinglish,warm,"Merry Christmas {{name}}! 🎄 Is khoobsurat tyohar mein aapke ghar mein khushi, pyaar aur sukoon bana rahe. Have a wonderful celebration!"
christmas,hinglish,fun,"Happy Christmas {{name}}! 🎅🎁 Santa toh aaya hoga zaroor — aakhir aap toh nice list mein hain! Enjoy karo!"
new year,en,warm,"Happy New Year {{name}}! 🎉 May 2027 bring you abundant joy, good health, and all the success you deserve. Here's to new beginnings!"
new year,en,casual,"Happy New Year {{name}}! 🥂 Hope this year is your best one yet — cheers to new adventures and great memories!"
new year,en,fun,"Happy New Year {{name}}! 🎊 Out with the old, in with the new — and in with better decisions than last year! Have an epic 2027!"
new year,en,formal,"Wishing you a very Happy and Prosperous New Year {{name}}. May this year bring you success, good health, and peace."
new year,hi,warm,"{{name}}, नए साल की हार्दिक शुभकामनाएं! 🎉 यह नया साल आपके लिए ढेरों खुशियाँ, सेहत और तरक्की लेकर आए।"
new year,hinglish,warm,"Happy New Year {{name}}! 🎊 Naya saal aapke liye dher saari khushiyan, sehat aur kamyabi lekar aaye. Dil se wish!"
new year,hinglish,casual,"Yaar {{name}}! Naya Saal Mubarak! 🥂 Is saal kuch naya karo, kuch alag karo — aur bahut maza karo!"
new year,hinglish,fun,"Happy New Year {{name}}! 🎉 Last year ke saare drama bhool jao — naya saal, naya josh, naya hungama! Let's go!"
