chat_type,event_type,language,tone,template_text
personalized,birthday,hi,warm,"{{name}}, जन्मदिन की हार्दिक बधाई! 🌈 यह साल आपके लिए सुनहरा हो।"
personalized,birthday,hi,warm,बहुत बहुत जन्मदिन मुबारक {{name}}! 🥂 खुशियां आपके साथ हमेशा रहें।
personalized,birthday,hi,casual,"{{name}} यार, जन्मदिन मुबारक! 🎉 आज तो खूब मस्ती करो!"
personalized,birthday,hi,casual,"अरे {{name}}, Happy Birthday! 🎂 पार्टी कब दे रहे हो?"
personalized,birthday,hi,casual,"{{name}} भाई/दी, जन्मदिन की बधाई! 🥳 आज का दिन एन्जॉय करो पूरा!"
personalized,birthday,hi,casual,"यार {{name}}, जन्मदिन मुबारक! 🎊 आज छुट्टी लो और मस्ती करो!"
personalized,birthday,hi,casual,"{{name}}, जन्मदिन मुबारक दोस्त! 🎈 खूब खाओ, खूब हंसो!"
personalized,birthday,hi,casual,"अरे {{name}}, बहुत बहुत बधाई! 🎁 आज का दिन खूब धमाकेदार हो!"
personalized,birthday,hi,casual,"{{name}} जी, जन्मदिन मुबारक! 🎂 सेलिब्रेशन होना चाहिए आज!"
personalized,birthday,hi,casual,"यार {{name}}, जन्मदिन की बधाई! 🎉 ट्रीट देनी है!"
personalized,birthday,hi,casual,"{{name}}, Happy Birthday! 🥳 आज तो सब तुम्हारी बात मानेंगे!"
personalized,birthday,hi,casual,जन्मदिन मुबारक {{name}}! 🎊 इस साल भी कमाल करो!
personalized,birthday,hi,fun,"{{name}}, जन्मदिन मुबारक! 🎂 एक और साल बड़े हो गए — पर लगते बिल्कुल नहीं!"
personalized,birthday,hi,fun,"अरे {{name}}, जन्मदिन मुबारक! 🥳 उम्र बढ़ रही है पर style वही है!"
personalized,birthday,hi,fun,"{{name}}, Happy Birthday! 🎉 आज डाइट भूल जाओ — केक तो बनता है!"
personalized,birthday,hi,fun,जन्मदिन मुबारक {{name}}! 🎈 इस साल और विंटेज हो गए — vintage is classy!
personalized,birthday,hi,fun,"{{name}}, जन्मदिन की बधाई! 🎊 आज की permission है — सब तुम्हारी मर्जी से!"
personalized,birthday,hi,fun,"अरे {{name}}, जन्मदिन मुबारक! 🥳 Google भी आज तुम्हें याद करता है — special हो!"
personalized,birthday,hi,fun,"{{name}}, Happy Birthday! 🎂 एक और साल survive — real achievement!"
personalized,birthday,hi,fun,जन्मदिन मुबारक {{name}}! 🎁 आज सब तुम्हारी बात मानेंगे — wisely use!
personalized,birthday,hi,fun,"{{name}}, जन्मदिन की बधाई दोस्त! 🎉 आज extra होने की full permission है!"
personalized,birthday,hi,fun,"अरे {{name}}, जन्मदिन मुबारक! 🎂 एक और birthday = एक और chance to be awesome!"
personalized,birthday,hi,formal,"{{name}} जी, जन्मदिन की हार्दिक बधाई। ईश्वर आपको दीर्घायु और सुखमय जीवन दें।"
personalized,birthday,hi,formal,"आदरणीय {{name}}, जन्मदिन की हार्दिक शुभकामनाएं। सदा सुख और समृद्धि बनी रहे।"
personalized,birthday,hi,formal,"{{name}} जी, इस विशेष अवसर पर हार्दिक बधाई। आपके हर कार्य में सफलता मिले।"
personalized,birthday,hi,formal,"प्रिय {{name}}, जन्मदिन पर अनेकानेक शुभकामनाएं। आपका यह वर्ष अत्यंत शुभ हो।"
personalized,birthday,hi,formal,"{{name}} जी, जन्मदिन की बधाई स्वीकार करें। आप स्वस्थ, प्रसन्न और सफल रहें।"
personalized,birthday,hi,formal,"आदरणीय {{name}}, जन्मदिन के पावन अवसर पर शुभकामनाएं। ईश्वर कृपा बनाए रखें।"
personalized,birthday,hi,formal,"{{name}} जी, जन्मदिन की हार्दिक शुभकामनाएं। आपका भविष्य उज्जवल हो।"
personalized,birthday,hi,formal,"प्रिय {{name}}, आपके जन्मदिन पर हार्दिक बधाई। जीवन की हर राह में सफलता मिले।"
personalized,birthday,hi,formal,"{{name}} जी, जन्मदिन की अनेकानेक बधाइयां। आप सदा स्वस्थ और समृद्ध रहें।"
personalized,birthday,hi,formal,"आदरणीय {{name}}, इस विशेष दिवस पर हार्दिक बधाई। आप चिरायु हों।"
personalized,birthday,hinglish,warm,Happy Birthday {{name}}! 🎂 Dil se wish — aaj ka din bahut khaas ho!
personalized,birthday,hinglish,warm,"{{name}}, janamdin mubarak! 🎉 Bhagwan kare har khwaish poori ho!"
personalized,birthday,hinglish,warm,Happy Birthday {{name}} yaar! 🌟 Aaj ka din sirf aapka hai — enjoy karo!
personalized,birthday,hinglish,warm,"{{name}}, janamdin ki dher saari shubhkamnayen! 💐 Is saal sab kuch acha ho!"
personalized,birthday,hinglish,warm,Happy Birthday {{name}}! 🎈 Khushiyan aapke saath hamesha rahen!
personalized,birthday,hinglish,warm,"{{name}}, aapke janamdin par dil se badhai! 🥳 Ye saal bahut khaas ho!"
personalized,birthday,hinglish,warm,Happy Birthday {{name}}! 🌺 Bhagwan aapko lambi umar aur acchi sehat de!
personalized,birthday,hinglish,warm,"{{name}}, janamdin mubarak! 🎁 Aapke sapne poore hon — dil se dua!"
personalized,birthday,hinglish,warm,Happy Birthday {{name}}! ✨ Aap bahut khaas hain — aaj khub khushi manao!
personalized,birthday,hinglish,warm,"{{name}}, janamdin mubarak ho! 🥂 Ye saal aur bhi behtareen ho!"
personalized,birthday,hinglish,casual,"Arre {{name}}, Happy Birthday yaar! 🎉 Aaj toh khub masti karo!"
personalized,birthday,hinglish,casual,"{{name}} bhai/didi, janamdin mubarak! 🎂 Party kab de rahe ho?"
personalized,birthday,hinglish,casual,Happy Birthday {{name}}! 🥳 Aaj ka din toh sirf tumhara hai!
personalized,birthday,hinglish,casual,"{{name}}, janamdin mubarak dost! 🎊 Cake kha lo aur enjoy karo!"
personalized,birthday,hinglish,casual,"Yaar {{name}}, Happy Birthday! 🎈 Is baar kuch toh special karo!"
personalized,birthday,hinglish,casual,Happy Birthday {{name}}! 🎁 Aaj toh sab tumhari baat manenge!
personalized,birthday,hinglish,casual,"{{name}}, janamdin mubarak! 🥳 Aaj chhutti lo aur celebrate karo!"
personalized,birthday,hinglish,casual,Happy Birthday {{name}} yaar! 🎂 Is saal bhi kuch khatarnak karo!
personalized,birthday,hinglish,casual,"Yaar {{name}}, janamdin mubarak! 🎉 Selfie toh banti hai aaj!"
personalized,birthday,hinglish,casual,Happy Birthday {{name}}! 🎊 Enjoy karo aur mast raho!
personalized,birthday,hinglish,fun,Happy Birthday {{name}}! 🎂 Ek aur saal beet gaya — par tu toh waise hi bindaas hai!
personalized,birthday,hinglish,fun,"{{name}}, janamdin mubarak! 🥳 Umar badh rahi hai par style waise hi hai!"
personalized,birthday,hinglish,fun,Happy Birthday {{name}}! 🎉 Aaj diet bhool jao — cake toh banta hai!
personalized,birthday,hinglish,fun,"{{name}}, janamdin mubarak dost! 🎂 Ab toh vintage ho gaye — vintage is classy!"
personalized,birthday,hinglish,fun,Happy Birthday {{name}}! 🎈 Aaj sab tumhari baat manenge — wisely use karo!
personalized,birthday,hinglish,fun,"{{name}}, janamdin mubarak! 🎊 Ek aur saal survive — achievement unlocked!"
personalized,birthday,hinglish,fun,Happy Birthday {{name}}! 🎁 Google bhi tumhe yaad karta hai — special ho!
personalized,birthday,hinglish,fun,"{{name}}, janamdin mubarak yaar! 🥳 Ek aur saal aur bhi cool ho gaye!"
personalized,birthday,hinglish,fun,Happy Birthday {{name}}! 🎂 Birthday calories count nahi hoti — enjoy!
personalized,birthday,hinglish,fun,"{{name}}, janamdin mubarak! 🎉 Best chapter abhi likhna baaki hai!"
personalized,birthday,hinglish,formal,"{{name}} ji, aapko janamdin ki haardik shubhkamnayen. Ishwar aapko dirghayu aur sukhmay jeevan de."
personalized,birthday,hinglish,formal,Happy Birthday {{name}} ji. Dil se dua — aapka ye saal bahut accha aur safal ho.
personalized,birthday,hinglish,formal,"{{name}} ji, janamdin ke khaas avsar par haardik badhai. Sadaa swasth aur prasann rahein."
personalized,birthday,hinglish,formal,"Aadarniya {{name}}, janamdin ki haardik shubhkamnayen. Jeevan mein sukh aur samriddhi bani rahe."
personalized,birthday,hinglish,formal,"{{name}} ji, aapke janamdin par haardik badhai. Ye saal aapke liye bahut shubh ho."
personalized,birthday,hinglish,formal,Happy Birthday {{name}} ji. Ishwar se prarthna — aap sadaa khush aur aage badhein.
personalized,birthday,hinglish,formal,"{{name}} ji, janamdin par dil se badhai. Aapka bhavishy roshan ho."
personalized,birthday,hinglish,formal,"Aadarniya {{name}}, is vishesh din par haardik shubhkamnayen. Aapke sabhi kaaryein safal hon."
personalized,birthday,hinglish,formal,"{{name}} ji, janamdin par anekanekon shubhkamnayen. Sehat aur khushi aapke saath rahe."
personalized,birthday,hinglish,formal,Happy Birthday {{name}} ji. Aapke jeevan ka ye saal bahut khaas aur yaadgaar ho.
personalized,cascade_birthday,en,warm,Hi {{cascade_name}}! 🎂 Wishing your little {{name}} a very Happy Birthday — may it be magical!
personalized,cascade_birthday,en,warm,"Dear {{cascade_name}}, sending warm birthday wishes for {{name}}! 🎉 Hope the day is filled with joy."
personalized,cascade_birthday,en,warm,"{{cascade_name}}, Happy Birthday to {{name}}! 🌟 May your little star have the most wonderful day!"
personalized,cascade_birthday,en,warm,Hi {{cascade_name}}! 🎈 Today is {{name}}'s special day — wishing them smiles and celebrations!
personalized,cascade_birthday,en,warm,"Dear {{cascade_name}}, a very Happy Birthday to {{name}}! 🥳 May every wish they make come true."
personalized,cascade_birthday,en,warm,"{{cascade_name}}, sending lots of love for {{name}}'s birthday! 🎁 Hope it's an amazing day!"
personalized,cascade_birthday,en,warm,"Happy Birthday to {{name}}! 🌺 {{cascade_name}}, hope the whole family has a wonderful celebration."
personalized,cascade_birthday,en,warm,"Hi {{cascade_name}}! 🎂 Wishing {{name}} a day full of cake, gifts, and endless smiles!"
personalized,cascade_birthday,en,warm,"Dear {{cascade_name}}, birthday love for {{name}}! 🎊 May they have the happiest of days."
personalized,cascade_birthday,en,warm,"{{cascade_name}}, wishing {{name}} a truly special birthday! 💐 Lots of love to your little one."
personalized,cascade_birthday,en,casual,Hey {{cascade_name}}! 🎉 Happy Birthday to {{name}} — hope they're having the best day!
personalized,cascade_birthday,en,casual,"{{cascade_name}}, big birthday wishes for {{name}}! 🎂 Hope the little one is loving their special day!"
personalized,cascade_birthday,en,casual,"Happy Birthday to {{name}}! 🥳 {{cascade_name}}, hope you're all celebrating in style!"
personalized,cascade_birthday,en,casual,Hey {{cascade_name}}! 🎈 Wishing {{name}} a super fun birthday — hope there's plenty of cake!
personalized,cascade_birthday,en,casual,"{{cascade_name}}, hope {{name}} is having an amazing birthday! 🎁 Give them a big hug from me!"
personalized,cascade_birthday,en,casual,"Happy Birthday {{name}}! 🎉 {{cascade_name}}, hope the celebrations are going brilliantly!"
personalized,cascade_birthday,en,casual,Hey {{cascade_name}}! 🎊 It's {{name}}'s big day — hope they're loving every minute!
personalized,cascade_birthday,en,casual,"{{cascade_name}}, wishing {{name}} the happiest birthday! 🎂 Hope they get everything they wished for!"
personalized,cascade_birthday,en,casual,"Happy Birthday to {{name}}! 🎈 {{cascade_name}}, hope it's a day to remember for everyone!"
personalized,cascade_birthday,en,casual,Hey {{cascade_name}}! 🥳 Big shoutout to birthday kid {{name}} — hope the day's been fab!
personalized,cascade_birthday,en,fun,"{{cascade_name}}, Happy Birthday to {{name}}! 🎂 One more year and they'll be giving YOU advice!"
personalized,cascade_birthday,en,fun,Hey {{cascade_name}}! 🎉 {{name}} is another year older — more cake-eating rights unlocked!
personalized,cascade_birthday,en,fun,"Happy Birthday {{name}}! 🥳 {{cascade_name}}, at this rate {{name}} will catch up to you soon!"
personalized,cascade_birthday,en,fun,"{{cascade_name}}, birthday time for {{name}}! 🎂 The little boss is another year more in charge!"
personalized,cascade_birthday,en,fun,Hey {{cascade_name}}! 🎈 {{name}} is officially one year more awesome today — celebrate accordingly!
personalized,cascade_birthday,en,fun,"Happy Birthday {{name}}! 🎁 {{cascade_name}}, enjoy today — phone borrowing season is coming soon!"
personalized,cascade_birthday,en,fun,"{{cascade_name}}, wishing {{name}} a birthday as energetic as they always are! 🎉 You'll need coffee!"
personalized,cascade_birthday,en,fun,"Happy Birthday {{name}}! 🎂 {{cascade_name}}, birthday kids make the rules today — good luck!"
personalized,cascade_birthday,en,fun,Hey {{cascade_name}}! 🥳 {{name}}'s another year older and probably already planning the next gift list!
personalized,cascade_birthday,en,fun,"{{cascade_name}}, Happy Birthday to {{name}}! 🎊 The tiny legend is growing up fast!"
personalized,cascade_birthday,en,formal,"Dear {{cascade_name}}, warmest birthday greetings to {{name}}. May they grow in good health and happiness."
personalized,cascade_birthday,en,formal,"{{cascade_name}}, on {{name}}'s birthday please accept my heartfelt congratulations and best wishes."
personalized,cascade_birthday,en,formal,"Dear {{cascade_name}}, wishing {{name}} a very Happy Birthday. May they be blessed with a bright future."
personalized,cascade_birthday,en,formal,"{{cascade_name}}, please convey my sincere birthday wishes to {{name}}. May they grow wonderfully."
personalized,cascade_birthday,en,formal,"Dear {{cascade_name}}, on this occasion of {{name}}'s birthday I extend my warmest greetings."
personalized,cascade_birthday,en,formal,"{{cascade_name}}, warmest birthday wishes for {{name}}. May they be blessed with good health and a bright mind."
personalized,cascade_birthday,en,formal,"Dear {{cascade_name}}, I wish {{name}} a very Happy Birthday. May they grow each day in wisdom and joy."
personalized,cascade_birthday,en,formal,"{{cascade_name}}, heartiest congratulations on {{name}}'s birthday. May they have a bright year ahead."
personalized,cascade_birthday,en,formal,"Dear {{cascade_name}}, warm birthday greetings for {{name}}. May they always be healthy and cheerful."
personalized,cascade_birthday,en,formal,"{{cascade_name}}, sincere birthday congratulations to {{name}}. May they grow in love and positivity."
personalized,cascade_birthday,hi,warm,"{{cascade_name}} ji, {{name}} ke janamdin ki haardik shubhkamnayen! 🎂 Bhagwan unhe sukhi rakhe!"
personalized,cascade_birthday,hi,warm,"Priy {{cascade_name}}, pyaare {{name}} ko janamdin mubarak! 🎉 Is nanhey ki muskaan bani rahe!"
personalized,cascade_birthday,hi,warm,"{{cascade_name}} ji, {{name}} ke khaas din par badhai! 🌟 Bachche ka bhavishy roshan ho!"
personalized,cascade_birthday,hi,warm,"{{cascade_name}}, {{name}} ko bahut saara pyaar aur janamdin ki dua! 💐 Khushiyan bani rahein!"
personalized,cascade_birthday,hi,warm,"Priy {{cascade_name}}, {{name}} ke janamdin par haardik dua! 🎈 Ishwar unhe lambi umar de!"
personalized,cascade_birthday,hi,warm,"{{cascade_name}} ji, {{name}} ka janamdin mubarak ho! 🥳 Aapka ghar khushiyon se bhara rahe!"
personalized,cascade_birthday,hi,warm,"{{cascade_name}}, {{name}} ke janamdin par dil se shubhkamnayen! 🎁 Is bachche mein bahut talent hai!"
personalized,cascade_birthday,hi,warm,"Priy {{cascade_name}}, {{name}} ko haardik janamdin ki badhai! 🌺 Aapka parivaar sadaa sukhi rahe!"
personalized,cascade_birthday,hi,warm,"{{cascade_name}} ji, {{name}} ke is vishesh din par badhai! 🎊 Ye nanha taara chamakta rahe!"
personalized,cascade_birthday,hi,warm,"{{cascade_name}}, {{name}} ko janamdin mubarak! ✨ Dil se pyaar aur dua aapke parivaar ke liye!"
personalized,cascade_birthday,hi,casual,"Arre {{cascade_name}} yaar, {{name}} ko janamdin mubarak! 🎉 Aaj toh party honi chahiye!"
personalized,cascade_birthday,hi,casual,"{{cascade_name}} bhai/didi, {{name}} ka janamdin mubarak! 🎂 Khub masti karo aaj!"
personalized,cascade_birthday,hi,casual,"{{cascade_name}}, {{name}} ko janamdin mubarak dost! 🥳 Cake toh banta hai!"
personalized,cascade_birthday,hi,casual,"Arre {{cascade_name}}, {{name}} ka janamdin hai! 🎊 Kuch khaas plan kiya?"
personalized,cascade_birthday,hi,casual,"{{cascade_name}} yaar, {{name}} ko Happy Birthday! 🎈 Ek cute photo toh daalo!"
personalized,cascade_birthday,hi,casual,"{{cascade_name}}, {{name}} ke janamdin par badhai! 🎁 Parivaar ko meri taraf se salaam!"
personalized,cascade_birthday,hi,casual,"Arre {{cascade_name}}, {{name}} ko janamdin mubarak dost! 🎂 Aaj sab {{name}} ke liye!"
personalized,cascade_birthday,hi,casual,"{{cascade_name}} bhai/didi, {{name}} ko Happy Birthday! 🥳 Aaj ka din yaadgaar karo!"
personalized,cascade_birthday,hi,casual,"{{cascade_name}}, {{name}} ka janamdin mubarak! 🎉 Celebration toh honi chahiye!"
personalized,cascade_birthday,hi,casual,"Arre {{cascade_name}}, {{name}} ke janamdin par khushiyan! 🎊 Enjoy karo sab mila ke!"
personalized,cascade_birthday,hi,fun,"{{cascade_name}}, {{name}} ka janamdin mubarak! 🎂 Ab ek aur saal ki demands ready hongi!"
personalized,cascade_birthday,hi,fun,"Arre {{cascade_name}}, {{name}} ek saal aur bade! 🥳 Aur ek saal aur entertaining!"
personalized,cascade_birthday,hi,fun,"{{cascade_name}}, Happy Birthday {{name}} ko! 🎉 Aaj sab bacche ki marzi — good luck!"
personalized,cascade_birthday,hi,fun,"{{cascade_name}} bhai/didi, {{name}} ka janamdin! 🎂 Gifts ki list bahut lambi hogi!"
personalized,cascade_birthday,hi,fun,"{{cascade_name}}, {{name}} ek saal aur bade! 🎈 Ab aur bhi zyada sawaal poochenge!"
personalized,cascade_birthday,hi,fun,"Arre {{cascade_name}}, {{name}} ke liye cake laaye? 🎁 Agar nahi toh mushkil ho sakti!"
personalized,cascade_birthday,hi,fun,"{{cascade_name}}, {{name}} ka janamdin! 🥳 Chote boss ka raaj ek saal aur badhaa!"
personalized,cascade_birthday,hi,fun,"{{cascade_name}} bhai/didi, {{name}} ko janamdin mubarak! 🎂 Aaj sab kuch wo bolega!"
personalized,cascade_birthday,hi,fun,"Arre {{cascade_name}}, {{name}} ke janamdin par badhai! 🎊 Pizza ki demand pakki hai!"
personalized,cascade_birthday,hi,fun,"{{cascade_name}}, {{name}} ek saal aur bade! 🎉 Aur ek saal aur bhi cute!"
personalized,cascade_birthday,hi,formal,"{{cascade_name}} ji, {{name}} ke janamdin par haardik shubhkamnayen. Ishwar unhe dirghayu de."
personalized,cascade_birthday,hi,formal,"Aadarniya {{cascade_name}}, {{name}} ke janamdin ke shubh avsar par haardik badhai."
personalized,cascade_birthday,hi,formal,"{{cascade_name}} ji, pyaare {{name}} ke janamdin par aapke parivaar ko haardik dua."
personalized,cascade_birthday,hi,formal,"Priy {{cascade_name}}, {{name}} ke janamdin par anek shubhkamnayen. Bachche ka bhavishy ujjwal ho."
personalized,cascade_birthday,hi,formal,"{{cascade_name}} ji, {{name}} ke janamdin par haardik badhai. Ishwar unhe uttam swasthya de."
personalized,cascade_birthday,hi,formal,"Aadarniya {{cascade_name}}, {{name}} ke is vishesh avsar par haardik shubhkamnayen."
personalized,cascade_birthday,hi,formal,"{{cascade_name}} ji, {{name}} ke janamdin par dil se badhai. Inhe uttam bhavishy mile."
personalized,cascade_birthday,hi,formal,"Priy {{cascade_name}}, {{name}} ke janamdin par haardik shubhkamnayen. Sadaa swasth rahein."
personalized,cascade_birthday,hi,formal,"{{cascade_name}} ji, {{name}} ke janamdin ke mangalmay din par haardik dua aur badhai."
personalized,cascade_birthday,hi,formal,"Aadarniya {{cascade_name}}, {{name}} ke janamdin par haardik badhai. Ye nanha taara chamakta rahe."
personalized,cascade_birthday,hinglish,warm,"{{cascade_name}}, {{name}} ko bahut saara pyaar aur janamdin ki shubhkamnayen! 🎂 Dil se dua!"
personalized,cascade_birthday,hinglish,warm,Hi {{cascade_name}}! {{name}} ke janamdin par dil se badhai! 🎉 Bachche ko hug hamare taraf se!
personalized,cascade_birthday,hinglish,warm,"{{cascade_name}} ji, {{name}} ka janamdin mubarak! 🌟 Is nanhey tare ko khushiyan milein!"
personalized,cascade_birthday,hinglish,warm,"{{cascade_name}}, Happy Birthday to {{name}}! 🎂 Aapka ye chhota sa wonder hamesha muskurata rahe!"
personalized,cascade_birthday,hinglish,warm,Hi {{cascade_name}}! 🎈 {{name}} ke special day par dil se badhai — bahut pyaara bachcha hai!
personalized,cascade_birthday,hinglish,warm,"{{cascade_name}}, {{name}} ke janamdin par dher saari dua! 🥳 Ishwar unhe hamesha khush rakhe!"
personalized,cascade_birthday,hinglish,warm,"{{cascade_name}} ji, {{name}} ko janamdin ki badhai! 🎁 Aapka parivaar bahut pyaara hai!"
personalized,cascade_birthday,hinglish,warm,Hi {{cascade_name}}! 🌺 {{name}} ke janamdin par bahut saara pyaar — ghar mein khushiyan bani rahein!
personalized,cascade_birthday,hinglish,warm,"{{cascade_name}}, {{name}} ko janamdin mubarak! 🎊 Bahut saari dua aapke parivaar ke liye!"
personalized,cascade_birthday,hinglish,warm,"{{cascade_name}} ji, {{name}} ke janamdin par haardik shubhkamnayen! 🥳 Ye nanha sitara chamakta rahe!"
personalized,cascade_birthday,hinglish,casual,Arre {{cascade_name}}! {{name}} ka janamdin mubarak! 🎉 Party kab hai? Hum bhi ayenge!
personalized,cascade_birthday,hinglish,casual,"{{cascade_name}} yaar, {{name}} ko Happy Birthday! 🎂 Kuch khaas plan hai bachche ke liye?"
personalized,cascade_birthday,hinglish,casual,Hi {{cascade_name}}! {{name}} ka janamdin mubarak! 🥳 Cake toh cut ho gaya na?
personalized,cascade_birthday,hinglish,casual,"{{cascade_name}} bhai/didi, {{name}} ko Happy Birthday! 🎊 Aaj toh celebrate karo!"
personalized,cascade_birthday,hinglish,casual,"Arre {{cascade_name}}, {{name}} ka janamdin hai! 🎈 Ek cute pic toh daalo!"
personalized,cascade_birthday,hinglish,casual,"{{cascade_name}}, {{name}} ko janamdin mubarak dost! 🎁 Aaj toh mast din hai!"
personalized,cascade_birthday,hinglish,casual,Hi {{cascade_name}}! 🎂 {{name}} ka birthday — kitna exciting! Enjoy karo sab mila ke!
personalized,cascade_birthday,hinglish,casual,"{{cascade_name}} yaar, {{name}} ko Happy Birthday! 🥳 Give them a big hug from me!"
personalized,cascade_birthday,hinglish,casual,"Arre {{cascade_name}}, {{name}} ke janamdin par mubarak! 🎉 Kuch plan kiya aaj ke liye?"
personalized,cascade_birthday,hinglish,casual,"{{cascade_name}} bhai/didi, {{name}} ko janamdin mubarak! 🎊 Bachcha kitna bada ho gaya!"
personalized,cascade_birthday,hinglish,fun,"{{cascade_name}}, {{name}} ka janamdin mubarak! 🎂 Ab toh ek aur saal ki demands ready!"
personalized,cascade_birthday,hinglish,fun,Arre {{cascade_name}}! {{name}} ek saal aur bade — aur ek saal aur nakhrey! 🥳
personalized,cascade_birthday,hinglish,fun,"{{cascade_name}}, {{name}} ka janamdin! 🎉 Chote boss ki reign shuru — good luck!"
personalized,cascade_birthday,hinglish,fun,"{{cascade_name}} bhai/didi, {{name}} ko Happy Birthday! 🎂 Gifts ki list bahut lambi hogi!"
